etape,step_cost,step_time,euro_per_prise_marginal,h_per_prise_marginal,cost_cum,time_cum,prises_cum,note
34,0.0,0.0,0.0,0.0,26919.782875774716,122.35293469496969,258,
35,0.0,0.0,0.0,0.0,26919.782875774716,122.35293469496969,266,
36,0.0,0.0,0.0,0.0,26919.782875774716,122.35293469496969,273,
37,0.0,0.0,0.0,0.0,26919.782875774716,122.35293469496969,280,
38,0.0,0.0,0.0,0.0,26919.782875774716,122.35293469496969,287,
39,0.0,0.0,0.0,0.0,26919.782875774716,122.35293469496969,294,
40,0.0,0.0,0.0,0.0,26919.782875774716,122.35293469496969,301,
41,0.0,0.0,0.0,0.0,26919.782875774716,122.35293469496969,308,
42,0.0,0.0,0.0,0.0,26919.782875774716,122.35293469496969,315,
43,0.0,0.0,0.0,0.0,26919.782875774716,122.35293469496969,322,
44,0.0,0.0,0.0,0.0,26919.782875774716,122.35293469496969,329,
45,0.0,0.0,0.0,0.0,26919.782875774716,122.35293469496969,336,
46,0.0,0.0,0.0,0.0,26919.782875774716,122.35293469496969,343,
47,0.0,0.0,0.0,0.0,26919.782875774716,122.35293469496969,350,
48,0.0,0.0,0.0,0.0,26919.782875774716,122.35293469496969,357,
49,0.0,0.0,0.0,0.0,26919.782875774716,122.35293469496969,364,
50,0.0,0.0,0.0,0.0,26919.782875774716,122.35293469496969,371,
51,0.0,0.0,0.0,0.0,26919.782875774716,122.35293469496969,378,
52,0.0,0.0,0.0,0.0,26919.782875774716,122.35293469496969,385,
53,0.0,0.0,0.0,0.0,26919.782875774716,122.35293469496969,392,
54,0.0,0.0,0.0,0.0,26919.782875774716,122.35293469496969,399,
55,0.0,0.0,0.0,0.0,26919.782875774716,122.35293469496969,406,
56,0.0,0.0,0.0,0.0,26919.782875774716,122.35293469496969,413,
57,0.0,0.0,0.0,0.0,26919.782875774716,122.35293469496969,420,
58,0.0,0.0,0.0,0.0,26919.782875774716,122.35293469496969,427,
59,0.0,0.0,0.0,0.0,26919.782875774716,122.35293469496969,434,
60,0.0,0.0,0.0,0.0,26919.782875774716,122.35293469496969,441,
61,0.0,0.0,0.0,0.0,26919.782875774716,122.35293469496969,448,
62,0.0,0.0,0.0,0.0,26919.782875774716,122.35293469496969,455,
63,0.0,0.0,0.0,0.0,26919.782875774716,122.35293469496969,462,
64,0.0,0.0,0.0,0.0,26919.782875774716,122.35293469496969,469,
65,0.0,0.0,0.0,0.0,26919.782875774716,122.35293469496969,476,
66,0.0,0.0,0.0,0.0,26919.782875774716,122.35293469496969,483,
67,0.0,0.0,0.0,0.0,26919.782875774716,122.35293469496969,490,
68,0.0,0.0,0.0,0.0,26919.782875774716,122.35293469496969,497,
69,0.0,0.0,0.0,0.0,26919.782875774716,122.35293469496969,504,
70,0.0,0.0,0.0,0.0,26919.782875774716,122.35293469496969,511,
71,0.0,0.0,0.0,0.0,26919.782875774716,122.35293469496969,518,
72,0.0,0.0,0.0,0.0,26919.782875774716,122.35293469496969,525,
73,14634.412304529207,66.7362145407099,1829.301538066151,8.342026817588737,41554.19518030393,189.0891492356796,533,
74,0.0,0.0,0.0,0.0,41554.19518030393,189.0891492356796,539,
75,0.0,0.0,0.0,0.0,41554.19518030393,189.0891492356796,545,
76,0.0,0.0,0.0,0.0,41554.19518030393,189.0891492356796,551,
77,0.0,0.0,0.0,0.0,41554.19518030393,189.0891492356796,557,
78,0.0,0.0,0.0,0.0,41554.19518030393,189.0891492356796,563,
79,0.0,0.0,0.0,0.0,41554.19518030393,189.0891492356796,569,
80,0.0,0.0,0.0,0.0,41554.19518030393,189.0891492356796,575,
81,0.0,0.0,0.0,0.0,41554.19518030393,189.0891492356796,581,
82,0.0,0.0,0.0,0.0,41554.19518030393,189.0891492356796,587,
83,0.0,0.0,0.0,0.0,41554.19518030393,189.0891492356796,593,
84,0.0,0.0,0.0,0.0,41554.19518030393,189.0891492356796,599,
85,0.0,0.0,0.0,0.0,41554.19518030393,189.0891492356796,605,
86,0.0,0.0,0.0,0.0,41554.19518030393,189.0891492356796,611,
87,0.0,0.0,0.0,0.0,41554.19518030393,189.0891492356796,617,
88,0.0,0.0,0.0,0.0,41554.19518030393,189.0891492356796,623,
89,0.0,0.0,0.0,0.0,41554.19518030393,189.0891492356796,629,
90,0.0,0.0,0.0,0.0,41554.19518030393,189.0891492356796,635,
91,0.0,0.0,0.0,0.0,41554.19518030393,189.0891492356796,641,
92,0.0,0.0,0.0,0.0,41554.19518030393,189.0891492356796,647,
93,0.0,0.0,0.0,0.0,41554.19518030393,189.0891492356796,653,
94,0.0,0.0,0.0,0.0,41554.19518030393,189.0891492356796,659,
95,0.0,0.0,0.0,0.0,41554.19518030393,189.0891492356796,665,
96,0.0,0.0,0.0,0.0,41554.19518030393,189.0891492356796,671,
97,0.0,0.0,0.0,0.0,41554.19518030393,189.0891492356796,677,
98,0.0,0.0,0.0,0.0,41554.19518030393,189.0891492356796,683,
99,0.0,0.0,0.0,0.0,41554.19518030393,189.0891492356796,689,
100,0.0,0.0,0.0,0.0,41554.19518030393,189.0891492356796,695,
101,0.0,0.0,0.0,0.0,41554.19518030393,189.0891492356796,701,
102,0.0,0.0,0.0,0.0,41554.19518030393,189.0891492356796,707,
103,0.0,0.0,0.0,0.0,41554.19518030393,189.0891492356796,713,
104,0.0,0.0,0.0,0.0,41554.19518030393,189.0891492356796,719,
105,18773.43407247938,75.09373628991753,2346.6792590599225,9.386717036239691,60327.62925278331,264.18288552559716,727,
106,5481.818235167805,30.454545750932255,783.1168907382579,4.350649392990322,65809.44748795111,294.6374312765294,734,
107,0.0,0.0,0.0,0.0,65809.44748795111,294.6374312765294,740,
108,18968.111365428336,75.87244546171334,2371.013920678542,9.484055682714168,84777.55885337945,370.5098767382427,748,
109,18820.4360068854,89.15765144473323,2352.554500860675,11.144706430591654,103597.99486026485,459.66752818297596,756,
110,19331.493618892855,86.97560321326495,2416.436702361607,10.871950401658118,122929.4884791577,546.643131396241,764,
111,19402.414574151706,91.57534957309781,2425.3018217689632,11.446918696637226,142331.90305330942,638.2184809693388,772,
112,9916.237505247858,43.68931889024575,1239.5296881559823,5.461164861280719,152248.14055855726,681.9077998595845,780,
113,23116.330485189774,99.9070823003193,2889.5413106487217,12.488385287539913,175364.47104374703,781.8148821599038,788,
114,12944.177645733216,60.3626350132637,1849.1682351047452,8.623233573323386,188308.64868948027,842.1775171731675,795,
115,0.0,0.0,0.0,0.0,188308.64868948027,842.1775171731675,800,
116,0.0,0.0,0.0,0.0,188308.64868948027,842.1775171731675,805,
117,0.0,0.0,0.0,0.0,188308.64868948027,842.1775171731675,810,
118,0.0,0.0,0.0,0.0,188308.64868948027,842.1775171731675,815,
119,0.0,0.0,0.0,0.0,188308.64868948027,842.1775171731675,820,
120,0.0,0.0,0.0,0.0,188308.64868948027,842.1775171731675,825,
121,0.0,0.0,0.0,0.0,188308.64868948027,842.1775171731675,830,
122,0.0,0.0,0.0,0.0,188308.64868948027,842.1775171731675,835,
123,0.0,0.0,0.0,0.0,188308.64868948027,842.1775171731675,840,
124,0.0,0.0,0.0,0.0,188308.64868948027,842.1775171731675,845,
125,0.0,0.0,0.0,0.0,188308.64868948027,842.1775171731675,850,
126,0.0,0.0,0.0,0.0,188308.64868948027,842.1775171731675,855,
127,0.0,0.0,0.0,0.0,188308.64868948027,842.1775171731675,860,
128,0.0,0.0,0.0,0.0,188308.64868948027,842.1775171731675,865,
129,0.0,0.0,0.0,0.0,188308.64868948027,842.1775171731675,870,
130,0.0,0.0,0.0,0.0,188308.64868948027,842.1775171731675,875,
131,0.0,0.0,0.0,0.0,188308.64868948027,842.1775171731675,880,
132,0.0,0.0,0.0,0.0,188308.64868948027,842.1775171731675,885,
133,0.0,0.0,0.0,0.0,188308.64868948027,842.1775171731675,890,
134,0.0,0.0,0.0,0.0,188308.64868948027,842.1775171731675,895,
135,0.0,0.0,0.0,0.0,188308.64868948027,842.1775171731675,900,
136,0.0,0.0,0.0,0.0,188308.64868948027,842.1775171731675,905,
137,0.0,0.0,0.0,0.0,188308.64868948027,842.1775171731675,910,
138,0.0,0.0,0.0,0.0,188308.64868948027,842.1775171731675,915,
139,0.0,0.0,0.0,0.0,188308.64868948027,842.1775171731675,920,
140,0.0,0.0,0.0,0.0,188308.64868948027,842.1775171731675,925,
141,0.0,0.0,0.0,0.0,188308.64868948027,842.1775171731675,930,
142,0.0,0.0,0.0,0.0,188308.64868948027,842.1775171731675,935,
143,0.0,0.0,0.0,0.0,188308.64868948027,842.1775171731675,940,
144,0.0,0.0,0.0,0.0,188308.64868948027,842.1775171731675,945,
145,0.0,0.0,0.0,0.0,188308.64868948027,842.1775171731675,950,
146,0.0,0.0,0.0,0.0,188308.64868948027,842.1775171731675,955,
147,0.0,0.0,0.0,0.0,188308.64868948027,842.1775171731675,960,
148,0.0,0.0,0.0,0.0,188308.64868948027,842.1775171731675,965,
149,0.0,0.0,0.0,0.0,188308.64868948027,842.1775171731675,970,
150,0.0,0.0,0.0,0.0,188308.64868948027,842.1775171731675,975,
151,0.0,0.0,0.0,0.0,188308.64868948027,842.1775171731675,980,
152,0.0,0.0,0.0,0.0,188308.64868948027,842.1775171731675,985,
153,0.0,0.0,0.0,0.0,188308.64868948027,842.1775171731675,990,
154,0.0,0.0,0.0,0.0,188308.64868948027,842.1775171731675,995,
155,0.0,0.0,0.0,0.0,188308.64868948027,842.1775171731675,1000,
156,0.0,0.0,0.0,0.0,188308.64868948027,842.1775171731675,1005,
157,0.0,0.0,0.0,0.0,188308.64868948027,842.1775171731675,1010,
158,0.0,0.0,0.0,0.0,188308.64868948027,842.1775171731675,1015,
159,0.0,0.0,0.0,0.0,188308.64868948027,842.1775171731675,1020,
160,0.0,0.0,0.0,0.0,188308.64868948027,842.1775171731675,1025,
161,0.0,0.0,0.0,0.0,188308.64868948027,842.1775171731675,1030,
162,2459.07065862651,9.83628263450604,491.814131725302,1.967256526901208,190767.71934810677,852.0137998076735,1035,
163,10442.5347037063,41.7701388148252,1740.4224506177168,6.961689802470867,201210.25405181307,893.7839386224987,1041,
164,3763.841600168235,15.05536640067294,752.768320033647,3.011073280134588,204974.0956519813,908.8393050231716,1046,
