etape,step_cost,step_time,euro_per_prise_marginal,h_per_prise_marginal,cost_cum,time_cum,prises_cum,note
1,18483.264358941567,77.91654959839335,18483.264358941567,77.91654959839335,18483.264358941567,77.91654959839335,1,
2,8436.518516833148,44.43638509657634,8436.518516833148,44.43638509657634,26919.782875774716,122.35293469496969,2,
3,14634.412304529207,66.7362145407099,1829.301538066151,8.342026817588737,41554.19518030393,189.0891492356796,10,
4,18773.43407247938,75.09373628991753,2346.6792590599225,9.386717036239691,60327.62925278331,264.18288552559716,18,
5,5481.818235167805,30.454545750932255,783.1168907382579,4.350649392990322,65809.44748795111,294.6374312765294,25,
6,18968.111365428336,75.87244546171334,2371.013920678542,9.484055682714168,84777.55885337945,370.5098767382427,33,
7,19331.493618892855,86.97560321326495,2416.436702361607,10.871950401658118,104109.0524722723,457.48547995150767,41,
8,18820.4360068854,89.15765144473323,2352.554500860675,11.144706430591654,122929.4884791577,546.643131396241,49,
9,19402.41457415171,91.57534957309781,2425.3018217689637,11.446918696637226,142331.90305330942,638.2184809693388,57,
10,9916.237505247858,43.68931889024575,1239.5296881559823,5.461164861280719,152248.14055855726,681.9077998595845,65,
11,23116.33048518977,99.9070823003193,2889.5413106487213,12.488385287539913,175364.47104374703,781.8148821599038,73,
12,12944.177645733216,60.3626350132637,1849.1682351047452,8.623233573323386,188308.64868948027,842.1775171731675,80,
13,2459.07065862651,9.83628263450604,491.814131725302,1.967256526901208,190767.71934810677,852.0137998076735,85,
14,10442.5347037063,41.7701388148252,1740.4224506177168,6.961689802470867,201210.25405181307,893.7839386224987,91,
15,3763.841600168235,15.05536640067294,752.768320033647,3.011073280134588,204974.0956519813,908.8393050231716,96,
16,30874.686530321676,150.68211842666423,3859.3358162902096,18.83526480333303,235848.78218230297,1059.5214234498358,104,
17,14540.099780428589,77.09296977827898,2077.1571114897984,11.013281396896998,250388.88196273157,1136.6143932281147,111,
18,18990.69024826881,105.50383471260449,2712.955749752687,15.071976387514926,269379.57221100037,1242.1182279407192,118,
19,13689.65046777896,63.29690389417812,2281.608411296493,10.54948398236302,283069.22267877933,1305.4151318348972,124,
20,16148.233437834475,69.1636323652628,2691.372239639079,11.527272060877133,299217.4561166138,1374.57876420016,130,
21,14573.769115695948,79.27533126124621,2428.961519282658,13.212555210207702,313791.2252323098,1453.8540954614064,136,
22,5640.68949834416,22.56275799337664,1410.17237458604,5.64068949834416,319431.9147306539,1476.416853454783,140,
23,29629.469897401767,147.87819851470982,4232.7814139145385,21.125456930672833,349061.3846280557,1624.2950519694928,147,
